Login, Нэвтрэх
Logout, Гарах
Email, И-мэйл
Password, Нууц үг
Forgot your password?, Нууц үгээ мартсан уу?
Create an account, Бүртгэл үүсгээх
Register, Бүртгүүлэх
Full Name, Бүтэн нэр
Full name, Бүтэн нэр
SIGN IN, НЭВТРЭХ
Order History, Захиалгын түүх
Account Details, Бүртгэлийн дэлгэрэнгүй
You have not placed any orders yet, Та одоогоор ямар ч захиалга өгөөгүй байна
My Account, Миний бүртгэл
Already have an account?, Өмнө нь бүртгэл үүсгэсэн үү?
Contact information, Холбоо барих мэдээлэл
City, Хот
Account Information, Бүртгэлийн мэдээлэл
Address, Хаяг
Postcode, Шуудангийн код
Postcode is required, Шуудангийн код шаардлагатай
Telephone is required, Утасны дугаар шаардлагатай
Telephone, Утас
Full name is required, Бүтэн нэр шаардлагатай
Country is required, Улс шаардлагатай
Country, Улс
Province is required, Муж/аймаг шаардлагатай
Province, Муж/аймаг
Billing Address, Төлбөрийн хаяг
Shipping Address, Хүргэлтийн хаяг
Create A New Account, Шинэ бүртгэл үүсгэх
Contact, Холбоо
Customer information, Хэрэглэгчийн мэдээлэл
