Total, Total
Order, Pedido
Sku, SKU
Continue to shipping, Continuar comprando
Continue shopping, Continue comprando
Continue Shopping, Continue Comprando
CONTINUE SHOPPING, CONTINUE COMPRANDO
Shopping cart, Carrinho de compras
Product, Produto
Price, Preço
Quantity, Quantidade
Remove, Remover
Qty, Quant
Sub total, Sub total
Discount(${coupon}), Desconto(${coupon})
Order summary, Resumo do pedido
Taxes and shipping calculated at checkout, Impostos e frete calculados no checkout
CHECKOUT, CHECKOUT
Change, Alterar
Payment Method, Metodo de Pagamento
Shipping Address, Endereço de Entrega
Shipping Method, Método de Entrega
No payment methods available, Nenhum método de pagamento disponível
Place Order, Fazer o pedido
My billing address is same as shipping address, Meu endereço de pagamento é igual ao endereço de entrega
${count} items, ${count} itens
Discount, Desconto
Shipping, Entrega
No tax, Sem impostos
Tax, Impostos
Sorry, there is no available method for your address, Desculpe, não existe método disponível para seu endereço.
Please enter a shipping address in order to see shipping quotes, Por favor insira um endereço de entrega para calcular o frete
Continue to payment, Continuar para o pagamento
No payment method available, Nenhum método de pagamento disponível
Ship to, Enviar para
Shipment, Envio
Thank you ${name}!, Obrigado(a), ${name}!
Contact information, Informações de contato
Order #${orderNumber}, Pedido #${orderNumber}
ADD TO CART, ADICIONAR AO CARRINHO
Please select variant options, Por favor escolha as opções de variação
VIEW CART (${count}), VER CARRINHO (${count})
JUST ADDED TO YOUR CART, ADICIONADO AO CARRINHO
Promotion code?, Código promocional?
Enter coupon code, Insira seu coupon
Apply, Aplicar
Your cart is empty!, Seu carrinho está vazio!
Full name, Nome completo
Telephone, Telefone
Address, Endereço
City, Cidade
Country, País
Postcode, CEP
Inclusive of tax, Impostos inclusos
Sorry, there is no available method for your address,Desculpe, não existem opções para seu endereço.
Full name is required, Nome completo é obrigatório
Telephone is required, Telefone é obrigatório
Address is required, Endereço é obrigatório
City is required, Cidade é obrigatória
Country is required, País é obrigatório
Postcode is required, CEP é obrigatório
Contact, Contato
